thick,crossplane,y,x,r,temp
1.25893e-05,4.38267,2,2,0.2,200
1.58489e-05,4.41077,2,2,0.2,200
1.99526e-05,4.43394,2,2,0.2,200
2.51189e-05,4.4529,2,2,0.2,200
3.16228e-05,4.46834,2,2,0.2,200
3.98107e-05,4.48085,2,2,0.2,200
5.01187e-05,4.49094,2,2,0.2,200
6.30957e-05,4.49906,2,2,0.2,200
7.94328e-05,4.50558,2,2,0.2,200
0.0001,4.5108,2,2,0.2,200
1.25893e-09,0.88303,2,2,0.1,300
1.58489e-09,0.993244,2,2,0.1,300
1.99526e-09,1.10768,2,2,0.1,300
2.51189e-09,1.22516,2,2,0.1,300
3.16228e-09,1.34457,2,2,0.1,300
3.98107e-09,1.46486,2,2,0.1,300
5.01187e-09,1.58512,2,2,0.1,300
6.30957e-09,1.7046,2,2,0.1,300
7.94328e-09,1.82268,2,2,0.1,300
1e-08,1.93895,2,2,0.1,300
1.25893e-08,2.05316,2,2,0.1,300
1.58489e-08,2.16519,2,2,0.1,300
1.99526e-08,2.27512,2,2,0.1,300
2.51189e-08,2.38312,2,2,0.1,300
3.16228e-08,2.48948,2,2,0.1,300
3.98107e-08,2.59453,2,2,0.1,300
5.01187e-08,2.69862,2,2,0.1,300
6.30957e-08,2.80207,2,2,0.1,300
7.94328e-08,2.90509,2,2,0.1,300
1e-07,3.00779,2,2,0.1,300
1.25893e-07,3.11014,2,2,0.1,300
1.58489e-07,3.21198,2,2,0.1,300
1.99526e-07,3.31304,2,2,0.1,300
2.51189e-07,3.41297,2,2,0.1,300
3.16228e-07,3.51137,2,2,0.1,300
3.98107e-07,3.60776,2,2,0.1,300
5.01187e-07,3.70165,2,2,0.1,300
6.30957e-07,3.79249,2,2,0.1,300
7.94328e-07,3.87965,2,2,0.1,300
1e-06,3.96247,2,2,0.1,300
1.25893e-06,4.04028,2,2,0.1,300
1.58489e-06,4.11244,2,2,0.1,300
1.99526e-06,4.17842,2,2,0.1,300
2.51189e-06,4.23786,2,2,0.1,300
3.16228e-06,4.2906,2,2,0.1,300
3.98107e-06,4.33673,2,2,0.1,300
5.01187e-06,4.37653,2,2,0.1,300
6.30957e-06,4.41042,2,2,0.1,300
7.94328e-06,4.43896,2,2,0.1,300
1e-05,4.46276,2,2,0.1,300
1.25893e-05,4.48243,2,2,0.1,300
1.58489e-05,4.49857,2,2,0.1,300
1.99526e-05,4.51174,2,2,0.1,300
2.51189e-05,4.52243,2,2,0.1,300
3.16228e-05,4.53107,2,2,0.1,300
3.98107e-05,4.53803,2,2,0.1,300
5.01187e-05,4.54361,2,2,0.1,300
6.30957e-05,4.54809,2,2,0.1,300
7.94328e-05,4.55168,2,2,0.1,300
0.0001,4.55454,2,2,0.1,300
1.25893e-09,0.859563,2,1,0.5,500
1.58489e-09,0.960503,2,1,0.5,500
1.99526e-09,1.06738,2,1,0.5,500
2.51189e-09,1.18019,2,1,0.5,500
3.16228e-09,1.29899,2,1,0.5,500
3.98107e-09,1.42391,2,1,0.5,500
5.01187e-09,1.55516,2,1,0.5,500
6.30957e-09,1.693,2,1,0.5,500
7.94328e-09,1.83773,2,1,0.5,500
1e-08,1.98967,2,1,0.5,500
1.25893e-08,2.14908,2,1,0.5,500
1.58489e-08,2.31623,2,1,0.5,500
1.99526e-08,2.49127,2,1,0.5,500
2.51189e-08,2.67427,2,1,0.5,500
3.16228e-08,2.86519,2,1,0.5,500
3.98107e-08,3.06387,2,1,0.5,500
5.01187e-08,3.27,2,1,0.5,500
6.30957e-08,3.48315,2,1,0.5,500
7.94328e-08,3.70276,2,1,0.5,500
1e-07,3.92808,2,1,0.5,500
1.25893e-07,4.15821,2,1,0.5,500
1.58489e-07,4.39206,2,1,0.5,500
1.99526e-07,4.62832,2,1,0.5,500
2.51189e-07,4.86549,2,1,0.5,500
3.16228e-07,5.10183,2,1,0.5,500
3.98107e-07,5.33545,2,1,0.5,500
5.01187e-07,5.56427,2,1,0.5,500
6.30957e-07,5.78615,2,1,0.5,500
7.94328e-07,5.99888,2,1,0.5,500
1e-06,6.20034,2,1,0.5,500
1.25893e-06,6.38862,2,1,0.5,500
1.58489e-06,6.5621,2,1,0.5,500
1.99526e-06,6.71961,2,1,0.5,500
2.51189e-06,6.86053,2,1,0.5,500
3.16228e-06,6.98476,2,1,0.5,500
3.98107e-06,7.09278,2,1,0.5,500
5.01187e-06,7.18547,2,1,0.5,500
6.30957e-06,7.26407,2,1,0.5,500
7.94328e-06,7.33002,2,1,0.5,500
1e-05,7.38484,2,1,0.5,500
1.25893e-05,7.43004,2,1,0.5,500
1.58489e-05,7.46707,2,1,0.5,500
1.99526e-05,7.49722,2,1,0.5,500
2.51189e-05,7.52165,2,1,0.5,500
